"","ContigID","Protein_Hit","Gene","Drug","Mechanism","Genus","Species","Family","PlasmidOrChr","Type"
"1435","k141_3730288.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Capnocytophaga","Capnocytophaga gingivalis",NA,"Chromosome","Chromosome"
"1434","k141_3726975.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"1433","k141_3723438.concoct_part_0","AAC74149","mdtH","Fluoroquinolone","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1432","k141_3721857.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"1431","k141_3720882.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Actinomyces","Actinomyces oris",NA,"Chromosome","Chromosome"
"1430","k141_3719922.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"1429","k141_3717736.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"1428","k141_3714418.concoct_part_0","ABV18113","mdtG","Fosfomycin","antibiotic efflux","Klebsiella","Klebsiella aerogenes",NA,"Chromosome","Chromosome"
"1427","k141_3712684.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Atopobium","Atopobium parvulum",NA,"Chromosome","Chromosome"
"1426","k141_3712677.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"1425","k141_3711764.concoct_part_2","AAC75136","mdtB","Aminocoumarin antibiotic","antibiotic efflux","Serratia","Serratia marcescens",NA,"Plasmid","Plasmid"
"1424","k141_3711764.concoct_part_1","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Serratia","Serratia marcescens",NA,"Plasmid","Plasmid"
"1423","k141_3711764.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1422","k141_3710801.concoct_part_0","AET10445","tetB(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"1421","k141_3710702.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"1420","k141_370907.concoct_part_0","AAK76137","patA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1419","k141_3708892.concoct_part_0","CAA64891","mtrE","Multidrug","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"1418","k141_3708069.concoct_part_0","AAK99679","pmrA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus sanguinis",NA,"Chromosome","Chromosome"
"1417","k141_370748.concoct_part_0","AAF40764","farB","Antibacterial free fatty acids","antibiotic efflux","Neisseria","Neisseria sp.",NA,"Chromosome","Chromosome"
"1416","k141_3705306.concoct_part_0","AAK99679","pmrA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus gordonii",NA,"Chromosome","Chromosome"
"1415","k141_3701343.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Tannerella","Tannerella forsythia",NA,"Chromosome","Chromosome"
"1414","k141_3698293.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Campylobacter","Campylobacter showae",NA,"Chromosome","Chromosome"
"1413","k141_3697878.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"1412","k141_3696317.concoct_part_0","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"1411","k141_3691822.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Rothia","Rothia dentocariosa",NA,"Chromosome","Chromosome"
"1410","k141_3688274.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1409","k141_3680988.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Veillonella","Veillonella parvula",NA,"Chromosome","Chromosome"
"1408","k141_3679905.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1407","k141_3679319.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"1406","k141_3677447.concoct_part_0","AYV52072","lmrD","MLS","antibiotic efflux","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"1405","k141_3674546.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1404","k141_3668815.concoct_part_2","AAV85982","macB","MLS","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1403","k141_3666832.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"1402","k141_3662746.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1401","k141_3659428.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"1400","k141_3656898.concoct_part_1","CAA09666","Klebsiella pneumoniae OmpK37","Beta-lactam","reduced permeability to antibiotic","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1399","k141_3656344.concoct_part_0","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Capnocytophaga","Capnocytophaga gingivalis",NA,"Chromosome","Chromosome"
"1398","k141_3651732.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1397","k141_3648535.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Rothia","Rothia dentocariosa",NA,"Chromosome","Chromosome"
"1396","k141_3644950.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1395","k141_3640494.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"1394","k141_3635037.concoct_part_0","BAO37256","CTX-M-137","Beta-lactam","antibiotic inactivation","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1393","k141_3633141.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1392","k141_3631044.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"1391","k141_3629021.concoct_part_1","AAN00989","Streptococcus agalactiae mprF","Peptide antibiotic","antibiotic target alteration","Streptococcus","Streptococcus agalactiae",NA,"Chromosome","Chromosome"
"1390","k141_3626413.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Atopobium","Atopobium parvulum",NA,"Chromosome","Chromosome"
"1389","k141_3624136.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1388","k141_3623420.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"1387","k141_3622555.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Aggregatibacter","Aggregatibacter segnis",NA,"Chromosome","Chromosome"
"1386","k141_3622043.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1385","k141_3615544.concoct_part_0","AAF40764","farB","Antibacterial free fatty acids","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1384","k141_361352.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"1383","k141_3611779.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1382","k141_3607605.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"1381","k141_3605909.concoct_part_0","AAX14802","adeJ","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1380","k141_3605825.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"1379","k141_3605355.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1378","k141_3598167.concoct_part_5","AAB58161","ceoB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1377","k141_3595675.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Lactococcus","Lactococcus lactis",NA,"Chromosome","Chromosome"
"1376","k141_359227.concoct_part_0","NP_252896","mexI","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1375","k141_3587613.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1374","k141_3587148.concoct_part_5","ALH22601","adeL","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1373","k141_3586762.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Campylobacter","Campylobacter showae",NA,"Chromosome","Chromosome"
"1372","k141_3585527.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Corynebacterium","Corynebacterium urealyticum",NA,"Chromosome","Chromosome"
"1371","k141_3585394.concoct_part_0","AHE40557","ANT(6)-Ia","Aminoglycoside","antibiotic inactivation","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"1370","k141_3581626.concoct_part_0","AAC73788","kdpE","Aminoglycoside","antibiotic efflux","Corynebacterium","Corynebacterium striatum",NA,"Chromosome","Chromosome"
"1369","k141_3575747.concoct_part_0","AAP43110","oqxB","Multidrug","antibiotic efflux","Prevotella","Prevotella denticola",NA,"Chromosome","Chromosome"
"1368","k141_3575677.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1367","k141_3571496.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1366","k141_3571404.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1365","k141_3569582.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Prevotella","Prevotella denticola",NA,"Chromosome","Chromosome"
"1364","k141_3565998.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1363","k141_3564893.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Streptococcus","Streptococcus intermedius",NA,"Chromosome","Chromosome"
"1362","k141_3564565.concoct_part_6","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1361","k141_3564565.concoct_part_0","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1360","k141_3563480.concoct_part_0","AYV52072","lmrD","MLS","antibiotic efflux","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"1359","k141_3562389.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Listeria","Listeria monocytogenes",NA,"Chromosome","Chromosome"
"1358","k141_3560687.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Fusobacterium","Fusobacterium nucleatum",NA,"Chromosome","Chromosome"
"1357","k141_3557444.concoct_part_0","AAC75135","mdtA","Aminocoumarin antibiotic","antibiotic efflux","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"1356","k141_3557123.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1355","k141_3555666.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1354","k141_3548218.concoct_part_0","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1353","k141_3543716.concoct_part_0","AAA74437","MexB","Multidrug","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"1352","k141_3537666.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Neisseria","Neisseria sp.",NA,"Chromosome","Chromosome"
"1351","k141_3532529.concoct_part_7","AAV85982","macB","MLS","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1350","k141_3532529.concoct_part_5","ABV18113","mdtG","Fosfomycin","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1349","k141_3532529.concoct_part_4","ABV18113","mdtG","Fosfomycin","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1348","k141_3532529.concoct_part_0","AAP43110","oqxB","Multidrug","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1347","k141_3531569.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Gemella","Gemella morbillorum",NA,"Chromosome","Chromosome"
"1346","k141_3529484.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"1345","k141_3529073.concoct_part_1","EGE18576","ICR-Mc","Peptide antibiotic","antibiotic target alteration","Moraxella","Moraxella catarrhalis",NA,"Chromosome","Chromosome"
"1344","k141_352897.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Fusobacterium","Fusobacterium nucleatum",NA,"Chromosome","Chromosome"
"1343","k141_3526013.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1342","k141_3525783.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1341","k141_3525229.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"1340","k141_3524181.concoct_part_0","BAE06006","mexN","Phenicol","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"1339","k141_3522609.concoct_part_0","AAA74437","MexB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1338","k141_3521942.concoct_part_3","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Cloacibacterium","Cloacibacterium normanense",NA,"Chromosome","Chromosome"
"1337","k141_3520774.concoct_part_0","AAG04750","PmpM","Multidrug","antibiotic efflux","Streptococcus","Streptococcus agalactiae",NA,"Chromosome","Chromosome"
"1336","k141_3520128.concoct_part_0","ACH87088","tet32","Tetracycline","antibiotic target protection","Lachnospiraceae","Lachnospiraceae bacterium",NA,"Chromosome","Chromosome"
"1335","k141_3519585.concoct_part_7","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
